UnitNumber,price,overall_satisfaction,reviews,room_type,accommodates,bedrooms,minstay,neighborhood,district,WalkScore,TransitScore,BikeScore,PctRentals
328,60,4.5,32,Private room,1,1,1,Humboldt Park,West,84,67,82,0.408663722
329,120,4.5,53,Entire home/apt,3,1,1,Humboldt Park,West,84,67,82,0.408663722
330,55,5,22,Private room,2,1,2,Humboldt Park,West,84,67,82,0.408663722
331,70,4.5,4,Private room,2,1,1,Humboldt Park,West,84,67,82,0.408663722
332,50,5,24,Private room,2,1,2,Humboldt Park,West,84,67,82,0.408663722
333,115,5,13,Entire home/apt,2,1,2,Humboldt Park,West,84,67,82,0.408663722
334,70,5,18,Private room,2,1,1,Humboldt Park,West,84,67,82,0.408663722
335,59,4.5,104,Private room,2,1,2,Humboldt Park,West,84,67,82,0.408663722
336,66,4,26,Private room,1,1,1,Humboldt Park,West,84,67,82,0.408663722
337,125,5,32,Entire home/apt,6,2,2,Humboldt Park,West,84,67,82,0.408663722
338,119,5,22,Entire home/apt,6,2,1,Humboldt Park,West,84,67,82,0.408663722
339,199,5,4,Entire home/apt,2,1,3,Humboldt Park,West,84,67,82,0.408663722
340,40,5,13,Private room,1,1,1,Humboldt Park,West,84,67,82,0.408663722
341,75,4.5,14,Private room,3,1,1,Humboldt Park,West,84,67,82,0.408663722
342,52,5,14,Private room,2,1,6,Humboldt Park,West,84,67,82,0.408663722
343,30,5,9,Private room,2,1,1,Humboldt Park,West,84,67,82,0.408663722
344,39,5,25,Private room,2,1,1,Humboldt Park,West,84,67,82,0.408663722
345,75,5,48,Private room,2,1,1,Humboldt Park,West,84,67,82,0.408663722
346,60,5,10,Private room,1,1,1,Humboldt Park,West,84,67,82,0.408663722
347,45,4.5,7,Private room,4,1,1,Humboldt Park,West,84,67,82,0.408663722
348,50,4.5,19,Private room,2,1,2,Humboldt Park,West,84,67,82,0.408663722
349,45,5,12,Private room,2,1,1,Humboldt Park,West,84,67,82,0.408663722
350,79,5,20,Private room,2,1,1,Humboldt Park,West,84,67,82,0.408663722
351,140,4.5,5,Entire home/apt,5,2,2,Humboldt Park,West,84,67,82,0.408663722
352,59,5,3,Private room,2,1,1,Humboldt Park,West,84,67,82,0.408663722
353,99,4,63,Entire home/apt,8,3,3,Humboldt Park,West,84,67,82,0.408663722
354,150,5,43,Entire home/apt,6,2,3,Humboldt Park,West,84,67,82,0.408663722
355,275,4.5,7,Entire home/apt,7,1,1,Humboldt Park,West,84,67,82,0.408663722
356,70,5,14,Private room,2,1,2,Humboldt Park,West,84,67,82,0.408663722
357,150,5,15,Entire home/apt,4,2,2,Humboldt Park,West,84,67,82,0.408663722
358,65,5,175,Entire home/apt,4,0,1,Humboldt Park,West,84,67,82,0.408663722
359,600,5,36,Entire home/apt,10,3,1,Humboldt Park,West,84,67,82,0.408663722
360,32,4.5,5,Private room,2,1,1,Humboldt Park,West,84,67,82,0.408663722
361,90,5,15,Private room,3,1,2,Humboldt Park,West,84,67,82,0.408663722
362,53,4.5,30,Private room,2,1,1,Humboldt Park,West,84,67,82,0.408663722
363,41,5,18,Private room,3,1,1,Humboldt Park,West,84,67,82,0.408663722
364,175,5,73,Entire home/apt,4,2,3,Humboldt Park,West,84,67,82,0.408663722
365,65,5,4,Private room,2,1,1,Humboldt Park,West,84,67,82,0.408663722
366,55,5,15,Private room,2,1,2,Humboldt Park,West,84,67,82,0.408663722
367,140,5,35,Entire home/apt,4,2,1,Humboldt Park,West,84,67,82,0.408663722
368,149,5,18,Entire home/apt,4,2,1,Humboldt Park,West,84,67,82,0.408663722
369,65,5,11,Private room,2,1,1,Humboldt Park,West,84,67,82,0.408663722
370,50,4.5,25,Private room,2,1,1,Humboldt Park,West,84,67,82,0.408663722
371,97,4.5,13,Entire home/apt,5,2,2,Humboldt Park,West,84,67,82,0.408663722
372,40,3.5,3,Private room,4,1,1,Humboldt Park,West,84,67,82,0.408663722
373,59,4.5,12,Private room,2,1,1,Humboldt Park,West,84,67,82,0.408663722
374,75,5,10,Private room,2,1,1,Humboldt Park,West,84,67,82,0.408663722
375,39,3.5,13,Entire home/apt,10,3,NA,Humboldt Park,West,84,67,82,0.408663722
376,219,5,4,Entire home/apt,5,3,2,Humboldt Park,West,84,67,82,0.408663722
377,80,5,95,Entire home/apt,6,2,2,Humboldt Park,West,84,67,82,0.408663722
378,125,5,6,Entire home/apt,4,1,1,Humboldt Park,West,84,67,82,0.408663722
379,50,4.5,19,Private room,2,1,1,Humboldt Park,West,84,67,82,0.408663722
380,110,5,72,Entire home/apt,4,2,2,Humboldt Park,West,84,67,82,0.408663722
381,30,5,4,Private room,2,1,1,Humboldt Park,West,84,67,82,0.408663722
382,159,5,8,Entire home/apt,4,2,1,Humboldt Park,West,84,67,82,0.408663722
383,30,4.5,3,Private room,1,1,1,Humboldt Park,West,84,67,82,0.408663722
384,145,4.5,6,Entire home/apt,6,2,1,Humboldt Park,West,84,67,82,0.408663722
385,74,5,14,Private room,2,1,1,Humboldt Park,West,84,67,82,0.408663722
386,90,5,9,Entire home/apt,2,1,2,Humboldt Park,West,84,67,82,0.408663722
387,34,4.5,4,Private room,2,1,4,Hyde Park,South,86,66,95,0.299222846
388,34,5,4,Private room,1,1,1,Hyde Park,South,86,66,95,0.299222846
389,115,4.5,135,Entire home/apt,2,1,2,Hyde Park,South,86,66,95,0.299222846
390,45,4.5,37,Private room,2,1,2,Hyde Park,South,86,66,95,0.299222846
391,30,3,8,Private room,1,1,1,Hyde Park,South,86,66,95,0.299222846
392,53,4.5,46,Private room,2,1,1,Hyde Park,South,86,66,95,0.299222846
393,98,5,102,Private room,2,1,1,Hyde Park,South,86,66,95,0.299222846
394,70,5,11,Private room,2,1,1,Hyde Park,South,86,66,95,0.299222846
395,189,4.5,5,Entire home/apt,4,2,3,Hyde Park,South,86,66,95,0.299222846
396,70,5,5,Private room,1,1,1,Hyde Park,South,86,66,95,0.299222846
397,40,5,10,Private room,3,1,1,Hyde Park,South,86,66,95,0.299222846
398,85,5,5,Entire home/apt,4,1,5,Hyde Park,South,86,66,95,0.299222846
399,147,3.5,5,Entire home/apt,10,4,2,Hyde Park,South,86,66,95,0.299222846
400,25,4.5,10,Private room,2,1,1,Hyde Park,South,86,66,95,0.299222846
401,30,5,3,Private room,2,1,6,Hyde Park,South,86,66,95,0.299222846
402,250,4.5,6,Entire home/apt,6,3,2,Hyde Park,South,86,66,95,0.299222846
403,75,5,96,Private room,2,1,1,Hyde Park,South,86,66,95,0.299222846
404,40,5,6,Private room,1,1,1,Hyde Park,South,86,66,95,0.299222846
405,95,4,23,Entire home/apt,2,1,3,Hyde Park,South,86,66,95,0.299222846
406,165,4.5,53,Entire home/apt,6,2,3,Hyde Park,South,86,66,95,0.299222846
407,40,4.5,3,Private room,2,1,1,Hyde Park,South,86,66,95,0.299222846
408,77,5,14,Entire home/apt,2,0,1,Hyde Park,South,86,66,95,0.299222846
409,70,5,5,Shared room,2,1,1,Hyde Park,South,86,66,95,0.299222846
410,140,5,4,Entire home/apt,2,1,1,Hyde Park,South,86,66,95,0.299222846
411,125,4,18,Entire home/apt,2,1,7,Hyde Park,South,86,66,95,0.299222846
412,75,5,6,Private room,3,1,1,Hyde Park,South,86,66,95,0.299222846
413,94,5,39,Private room,2,1,1,Hyde Park,South,86,66,95,0.299222846
414,70,5,5,Private room,2,1,1,Hyde Park,South,86,66,95,0.299222846
415,150,4.5,5,Entire home/apt,3,2,3,Hyde Park,South,86,66,95,0.299222846
416,84,5,3,Private room,2,1,1,Hyde Park,South,86,66,95,0.299222846
417,75,5,85,Private room,2,1,2,Hyde Park,South,86,66,95,0.299222846
418,194,5,53,Entire home/apt,6,3,1,Hyde Park,South,86,66,95,0.299222846
419,45,4.5,32,Private room,2,1,2,Hyde Park,South,86,66,95,0.299222846
420,71,4.5,3,Private room,2,1,1,Hyde Park,South,86,66,95,0.299222846
421,90,5,6,Private room,2,1,2,Hyde Park,South,86,66,95,0.299222846
422,100,4.5,7,Entire home/apt,4,1,1,Hyde Park,South,86,66,95,0.299222846
423,37,4,14,Private room,2,1,1,Hyde Park,South,86,66,95,0.299222846
424,145,4.5,58,Entire home/apt,4,1,2,Hyde Park,South,86,66,95,0.299222846
425,70,5,31,Private room,2,1,2,Hyde Park,South,86,66,95,0.299222846
426,60,5,3,Entire home/apt,1,1,2,Hyde Park,South,86,66,95,0.299222846
427,99,5,28,Entire home/apt,2,1,3,Hyde Park,South,86,66,95,0.299222846
428,75,4,5,Entire home/apt,4,1,3,Hyde Park,South,86,66,95,0.299222846
429,88,4.5,7,Entire home/apt,5,2,2,Hyde Park,South,86,66,95,0.299222846
430,120,4,16,Private room,6,1,1,Hyde Park,South,86,66,95,0.299222846
431,65,4.5,9,Entire home/apt,3,2,3,Hyde Park,South,86,66,95,0.299222846
432,95,4.5,25,Entire home/apt,3,1,1,Hyde Park,South,86,66,95,0.299222846
433,105,4,3,Entire home/apt,4,1,1,Hyde Park,South,86,66,95,0.299222846
434,68,4.5,3,Private room,2,1,1,Hyde Park,South,86,66,95,0.299222846
435,90,5,16,Entire home/apt,4,2,1,Hyde Park,South,86,66,95,0.299222846
436,189,4.5,4,Entire home/apt,5,3,3,Hyde Park,South,86,66,95,0.299222846
437,29,4.5,10,Private room,2,1,1,Hyde Park,South,86,66,95,0.299222846
438,95,5,3,Private room,3,1,NA,Hyde Park,South,86,66,95,0.299222846
439,125,4.5,4,Entire home/apt,4,2,1,Hyde Park,South,86,66,95,0.299222846
440,70,5,119,Private room,2,1,1,Hyde Park,South,86,66,95,0.299222846
441,105,4.5,33,Private room,3,1,1,Hyde Park,South,86,66,95,0.299222846
442,50,4.5,6,Private room,5,1,1,Hyde Park,South,86,66,95,0.299222846
443,70,5,56,Private room,2,1,1,Hyde Park,South,86,66,95,0.299222846
444,55,5,9,Private room,2,1,2,Hyde Park,South,86,66,95,0.299222846
445,45,4.5,37,Private room,2,1,2,Hyde Park,South,86,66,95,0.299222846
446,50,4,3,Private room,1,1,2,Hyde Park,South,86,66,95,0.299222846
447,270,5,12,Entire home/apt,4,2,2,Hyde Park,South,86,66,95,0.299222846
448,70,5,7,Private room,2,1,1,Hyde Park,South,86,66,95,0.299222846
449,85,4,6,Entire home/apt,2,1,1,Hyde Park,South,86,66,95,0.299222846
450,45,4.5,58,Private room,2,1,NA,Hyde Park,South,86,66,95,0.299222846
451,50,4.5,9,Private room,2,1,2,Hyde Park,South,86,66,95,0.299222846
452,65,4.5,14,Entire home/apt,3,0,2,Hyde Park,South,86,66,95,0.299222846
453,85,5,7,Entire home/apt,6,3,2,Hyde Park,South,86,66,95,0.299222846
454,100,5,67,Private room,3,1,1,Hyde Park,South,86,66,95,0.299222846
455,70,5,123,Private room,2,1,1,Hyde Park,South,86,66,95,0.299222846
456,74,4,4,Private room,1,1,1,Hyde Park,South,86,66,95,0.299222846
457,40,5,32,Private room,2,1,1,Hyde Park,South,86,66,95,0.299222846
458,70,5,19,Private room,2,1,2,Hyde Park,South,86,66,95,0.299222846
459,37,4,24,Private room,2,1,1,Hyde Park,South,86,66,95,0.299222846
460,75,5,22,Private room,2,1,2,Irving Park,Northwest,85,66,69,0.022487615
461,350,5,8,Entire home/apt,6,4,1,Irving Park,Northwest,85,66,69,0.022487615
462,55,5,30,Private room,1,1,1,Irving Park,Northwest,85,66,69,0.022487615
463,159,4.5,3,Entire home/apt,8,3,NA,Irving Park,Northwest,85,66,69,0.022487615
464,500,5,11,Entire home/apt,8,3,1,Irving Park,Northwest,85,66,69,0.022487615
465,99,5,89,Entire home/apt,4,2,2,Irving Park,Northwest,85,66,69,0.022487615
466,100,5,6,Private room,3,1,NA,Irving Park,Northwest,85,66,69,0.022487615
467,120,5,61,Entire home/apt,6,2,3,Irving Park,Northwest,85,66,69,0.022487615
468,50,5,4,Private room,2,1,1,Irving Park,Northwest,85,66,69,0.022487615
469,50,5,8,Private room,1,1,1,Irving Park,Northwest,85,66,69,0.022487615
470,74,4.5,17,Private room,4,1,1,Irving Park,Northwest,85,66,69,0.022487615
471,1000,5,4,Entire home/apt,16,0,1,Irving Park,Northwest,85,66,69,0.022487615
472,99,4.5,4,Entire home/apt,4,2,3,Irving Park,Northwest,85,66,69,0.022487615
473,100,4.5,7,Entire home/apt,2,1,2,Irving Park,Northwest,85,66,69,0.022487615
474,60,5,59,Private room,2,1,1,Irving Park,Northwest,85,66,69,0.022487615
475,49,5,8,Private room,3,1,1,Irving Park,Northwest,85,66,69,0.022487615
476,85,5,10,Entire home/apt,6,2,3,Irving Park,Northwest,85,66,69,0.022487615
477,43,5,21,Private room,2,1,NA,Irving Park,Northwest,85,66,69,0.022487615
478,89,5,5,Private room,2,1,1,Irving Park,Northwest,85,66,69,0.022487615
479,40,5,11,Private room,1,1,2,Irving Park,Northwest,85,66,69,0.022487615
480,200,4.5,6,Entire home/apt,5,1,2,Irving Park,Northwest,85,66,69,0.022487615
481,75,5,28,Entire home/apt,3,1,2,Irving Park,Northwest,85,66,69,0.022487615
482,95,5,59,Private room,8,1,2,Jefferson Park,Far North,72,64,70,0.009169601
483,47,5,12,Private room,2,1,2,Jefferson Park,Far North,72,64,70,0.009169601
484,159,5,28,Entire home/apt,8,3,NA,Jefferson Park,Far North,72,64,70,0.009169601
485,75,5,11,Private room,2,1,1,Jefferson Park,Far North,72,64,70,0.009169601
486,85,4.5,10,Entire home/apt,11,3,1,Jefferson Park,Far North,72,64,70,0.009169601
487,80,4.5,15,Private room,2,1,1,Jefferson Park,Far North,72,64,70,0.009169601
488,83,5,35,Entire home/apt,3,1,1,Jefferson Park,Far North,72,64,70,0.009169601
489,65,5,6,Private room,1,1,2,Jefferson Park,Far North,72,64,70,0.009169601
490,60,5,28,Private room,2,1,3,Jefferson Park,Far North,72,64,70,0.009169601
491,100,5,74,Private room,6,1,NA,Jefferson Park,Far North,72,64,70,0.009169601
492,140,4.5,8,Entire home/apt,6,3,3,Jefferson Park,Far North,72,64,70,0.009169601
493,200,3.5,3,Entire home/apt,5,2,7,Jefferson Park,Far North,72,64,70,0.009169601
494,73,5,15,Entire home/apt,2,1,1,Jefferson Park,Far North,72,64,70,0.009169601
495,85,5,15,Private room,2,1,2,Jefferson Park,Far North,72,64,70,0.009169601
496,80,4.5,19,Private room,2,1,1,Jefferson Park,Far North,72,64,70,0.009169601
497,42,5,18,Private room,1,1,NA,Jefferson Park,Far North,72,64,70,0.009169601
498,40,4.5,17,Private room,2,1,1,Jefferson Park,Far North,72,64,70,0.009169601
499,45,5,6,Private room,2,1,1,Jefferson Park,Far North,72,64,70,0.009169601
500,45,5,22,Private room,2,1,NA,Jefferson Park,Far North,72,64,70,0.009169601
501,110,5,18,Entire home/apt,8,3,2,Jefferson Park,Far North,72,64,70,0.009169601
502,125,5,16,Entire home/apt,2,1,2,Kenwood,South,79,66,91,0.677006988
503,75,5,3,Entire home/apt,4,1,2,Kenwood,South,79,66,91,0.677006988
504,75,5,3,Private room,4,1,1,Kenwood,South,79,66,91,0.677006988
505,69,4.5,6,Private room,2,1,3,Kenwood,South,79,66,91,0.677006988
506,85,5,151,Private room,2,1,2,Kenwood,South,79,66,91,0.677006988
507,26,4.5,7,Private room,2,1,1,Kenwood,South,79,66,91,0.677006988
508,150,5,10,Entire home/apt,2,1,2,Kenwood,South,79,66,91,0.677006988
509,49,4.5,13,Private room,1,1,1,Kenwood,South,79,66,91,0.677006988
510,80,5,3,Private room,2,1,1,Kenwood,South,79,66,91,0.677006988
511,220,5,7,Entire home/apt,2,1,2,Lincoln Park,North,94,79,88,0.047850177
512,110,5,4,Entire home/apt,2,0,1,Lincoln Park,North,94,79,88,0.047850177
513,125,4.5,13,Entire home/apt,1,1,14,Lincoln Park,North,94,79,88,0.047850177
514,200,4,15,Entire home/apt,6,2,NA,Lincoln Park,North,94,79,88,0.047850177
515,100,4,3,Entire home/apt,2,0,1,Lincoln Park,North,94,79,88,0.047850177
516,135,5,80,Entire home/apt,2,1,1,Lincoln Park,North,94,79,88,0.047850177
517,100,4.5,24,Entire home/apt,2,1,1,Lincoln Park,North,94,79,88,0.047850177
518,135,5,24,Entire home/apt,2,1,1,Lincoln Park,North,94,79,88,0.047850177
519,160,4.5,8,Entire home/apt,4,2,2,Lincoln Park,North,94,79,88,0.047850177
520,165,5,17,Entire home/apt,3,1,2,Lincoln Park,North,94,79,88,0.047850177
521,145,5,8,Entire home/apt,4,1,1,Lincoln Park,North,94,79,88,0.047850177
522,95,5,12,Entire home/apt,2,0,1,Lincoln Park,North,94,79,88,0.047850177
523,109,5,49,Entire home/apt,2,1,3,Lincoln Park,North,94,79,88,0.047850177
524,159,5,22,Entire home/apt,4,1,2,Lincoln Park,North,94,79,88,0.047850177
525,150,5,29,Entire home/apt,4,1,5,Lincoln Park,North,94,79,88,0.047850177
526,90,5,9,Entire home/apt,2,1,2,Lincoln Park,North,94,79,88,0.047850177
527,110,5,206,Private room,2,1,2,Lincoln Park,North,94,79,88,0.047850177
528,99,5,40,Private room,2,1,1,Lincoln Park,North,94,79,88,0.047850177
529,79,4.5,9,Private room,2,1,2,Lincoln Park,North,94,79,88,0.047850177
530,110,4.5,16,Entire home/apt,3,1,2,Lincoln Park,North,94,79,88,0.047850177
531,125,5,4,Entire home/apt,4,1,2,Lincoln Park,North,94,79,88,0.047850177
532,100,4.5,61,Private room,2,1,4,Lincoln Park,North,94,79,88,0.047850177
533,290,4.5,37,Entire home/apt,6,3,2,Lincoln Park,North,94,79,88,0.047850177
534,150,5,6,Entire home/apt,4,2,2,Lincoln Park,North,94,79,88,0.047850177
535,225,5,5,Entire home/apt,4,2,4,Lincoln Park,North,94,79,88,0.047850177
536,350,5,4,Entire home/apt,7,2,3,Lincoln Park,North,94,79,88,0.047850177
537,130,5,80,Private room,2,1,2,Lincoln Park,North,94,79,88,0.047850177
538,250,5,13,Private room,2,1,1,Lincoln Park,North,94,79,88,0.047850177
539,275,5,11,Entire home/apt,10,4,NA,Lincoln Park,North,94,79,88,0.047850177
540,125,4.5,13,Entire home/apt,4,1,7,Lincoln Park,North,94,79,88,0.047850177
541,99,5,6,Entire home/apt,1,1,2,Lincoln Park,North,94,79,88,0.047850177
542,350,5,27,Entire home/apt,6,3,4,Lincoln Park,North,94,79,88,0.047850177
543,275,5,16,Entire home/apt,4,2,2,Lincoln Park,North,94,79,88,0.047850177
544,172,5,13,Entire home/apt,6,2,2,Lincoln Park,North,94,79,88,0.047850177
545,95,4,82,Entire home/apt,3,0,1,Lincoln Park,North,94,79,88,0.047850177
546,168,5,86,Entire home/apt,2,1,2,Lincoln Park,North,94,79,88,0.047850177
547,275,5,4,Entire home/apt,8,3,2,Lincoln Park,North,94,79,88,0.047850177
548,144,5,4,Entire home/apt,2,1,1,Lincoln Park,North,94,79,88,0.047850177
549,295,5,13,Entire home/apt,6,3,5,Lincoln Park,North,94,79,88,0.047850177
550,290,5,9,Entire home/apt,6,3,3,Lincoln Park,North,94,79,88,0.047850177
551,135,5,6,Entire home/apt,2,1,3,Lincoln Park,North,94,79,88,0.047850177
552,125,4.5,18,Entire home/apt,2,0,2,Lincoln Park,North,94,79,88,0.047850177
553,200,5,16,Entire home/apt,4,1,1,Lincoln Park,North,94,79,88,0.047850177
554,150,5,7,Entire home/apt,4,1,2,Lincoln Park,North,94,79,88,0.047850177
555,145,4.5,56,Entire home/apt,3,1,2,Lincoln Park,North,94,79,88,0.047850177
556,100,5,15,Entire home/apt,2,1,1,Lincoln Park,North,94,79,88,0.047850177
557,120,4.5,37,Entire home/apt,4,1,3,Lincoln Park,North,94,79,88,0.047850177
558,119,5,10,Entire home/apt,4,1,2,Lincoln Park,North,94,79,88,0.047850177
559,99,4.5,9,Entire home/apt,5,0,1,Lincoln Park,North,94,79,88,0.047850177
560,125,5,199,Entire home/apt,3,1,2,Lincoln Park,North,94,79,88,0.047850177
561,85,5,3,Private room,2,1,2,Lincoln Park,North,94,79,88,0.047850177
562,119,5,3,Entire home/apt,2,1,NA,Lincoln Park,North,94,79,88,0.047850177
563,250,4.5,6,Entire home/apt,9,2,NA,Lincoln Park,North,94,79,88,0.047850177
564,200,4.5,3,Entire home/apt,3,1,2,Lincoln Park,North,94,79,88,0.047850177
565,125,5,4,Entire home/apt,2,1,1,Lincoln Park,North,94,79,88,0.047850177
566,250,4.5,9,Entire home/apt,10,1,1,Lincoln Park,North,94,79,88,0.047850177
567,165,4.5,8,Entire home/apt,3,1,3,Lincoln Park,North,94,79,88,0.047850177
568,60,5,7,Private room,2,1,2,Lincoln Square,Far North,82,60,87,0.03429749
569,73,5,13,Private room,2,1,1,Lincoln Square,Far North,82,60,87,0.03429749
570,320,5,8,Entire home/apt,8,3,1,Lincoln Square,Far North,82,60,87,0.03429749
571,60,5,6,Private room,2,1,2,Lincoln Square,Far North,82,60,87,0.03429749
572,45,4.5,36,Private room,2,1,1,Lincoln Square,Far North,82,60,87,0.03429749
573,65,5,3,Private room,2,1,1,Lincoln Square,Far North,82,60,87,0.03429749
574,125,5,17,Entire home/apt,5,2,2,Lincoln Square,Far North,82,60,87,0.03429749
575,180,4.5,3,Entire home/apt,4,2,2,Lincoln Square,Far North,82,60,87,0.03429749
576,75,5,6,Private room,2,1,2,Lincoln Square,Far North,82,60,87,0.03429749
577,150,5,15,Entire home/apt,4,2,2,Lincoln Square,Far North,82,60,87,0.03429749
578,120,4.5,13,Entire home/apt,2,1,2,Lincoln Square,Far North,82,60,87,0.03429749
579,150,4.5,8,Entire home/apt,4,2,3,Lincoln Square,Far North,82,60,87,0.03429749
580,80,4.5,38,Entire home/apt,5,2,3,Lincoln Square,Far North,82,60,87,0.03429749
581,48,5,14,Private room,1,1,1,Lincoln Square,Far North,82,60,87,0.03429749
582,105,4.5,6,Private room,4,1,2,Lincoln Square,Far North,82,60,87,0.03429749
583,30,4.5,15,Shared room,2,1,1,Logan Square,North,88,68,81,0.046647309
584,44,4.5,103,Private room,2,1,4,Logan Square,North,88,68,81,0.046647309
585,80,4.5,9,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
586,169,5,36,Entire home/apt,6,2,NA,Logan Square,North,88,68,81,0.046647309
587,75,5,11,Entire home/apt,2,1,1,Logan Square,North,88,68,81,0.046647309
588,235,5,39,Entire home/apt,6,3,3,Logan Square,North,88,68,81,0.046647309
589,140,5,13,Entire home/apt,2,1,1,Logan Square,North,88,68,81,0.046647309
590,60,5,27,Private room,1,1,1,Logan Square,North,88,68,81,0.046647309
591,60,4.5,52,Private room,2,1,2,Logan Square,North,88,68,81,0.046647309
592,95,4.5,5,Entire home/apt,3,1,2,Logan Square,North,88,68,81,0.046647309
593,90,5,3,Entire home/apt,2,1,2,Logan Square,North,88,68,81,0.046647309
594,79,5,160,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
595,132,4.5,10,Entire home/apt,6,2,2,Logan Square,North,88,68,81,0.046647309
596,65,4.5,5,Entire home/apt,4,1,NA,Logan Square,North,88,68,81,0.046647309
597,84,5,4,Private room,4,1,1,Logan Square,North,88,68,81,0.046647309
598,90,5,8,Entire home/apt,4,2,2,Logan Square,North,88,68,81,0.046647309
599,400,5,4,Entire home/apt,4,2,1,Logan Square,North,88,68,81,0.046647309
600,100,5,25,Private room,2,1,2,Logan Square,North,88,68,81,0.046647309
601,115,5,41,Entire home/apt,4,2,NA,Logan Square,North,88,68,81,0.046647309
602,35,5,15,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
603,75,5,14,Entire home/apt,4,1,3,Logan Square,North,88,68,81,0.046647309
604,250,5,4,Entire home/apt,5,3,2,Logan Square,North,88,68,81,0.046647309
605,45,5,4,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
606,89,4.5,17,Entire home/apt,2,1,2,Logan Square,North,88,68,81,0.046647309
607,68,5,8,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
608,150,5,6,Entire home/apt,2,1,2,Logan Square,North,88,68,81,0.046647309
609,100,5,87,Private room,3,1,2,Logan Square,North,88,68,81,0.046647309
610,130,5,63,Entire home/apt,2,2,2,Logan Square,North,88,68,81,0.046647309
611,50,5,4,Private room,3,1,1,Logan Square,North,88,68,81,0.046647309
612,100,4.5,5,Entire home/apt,2,1,1,Logan Square,North,88,68,81,0.046647309
613,65,5,28,Private room,2,1,2,Logan Square,North,88,68,81,0.046647309
614,105,5,11,Entire home/apt,4,3,2,Logan Square,North,88,68,81,0.046647309
615,140,5,4,Entire home/apt,3,2,3,Logan Square,North,88,68,81,0.046647309
616,80,4.5,100,Entire home/apt,4,1,2,Logan Square,North,88,68,81,0.046647309
617,100,4.5,162,Entire home/apt,3,1,1,Logan Square,North,88,68,81,0.046647309
618,150,5,3,Entire home/apt,3,1,1,Logan Square,North,88,68,81,0.046647309
619,75,5,87,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
620,45,5,12,Private room,2,1,2,Logan Square,North,88,68,81,0.046647309
621,35,5,30,Private room,2,1,2,Logan Square,North,88,68,81,0.046647309
622,55,5,37,Private room,4,1,1,Logan Square,North,88,68,81,0.046647309
623,70,5,4,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
624,60,5,4,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
625,139,5,32,Entire home/apt,5,2,NA,Logan Square,North,88,68,81,0.046647309
626,55,5,83,Private room,2,1,3,Logan Square,North,88,68,81,0.046647309
627,48,5,9,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
628,40,4.5,22,Private room,1,1,1,Logan Square,North,88,68,81,0.046647309
629,110,5,26,Private room,3,1,1,Logan Square,North,88,68,81,0.046647309
630,155,5,27,Entire home/apt,6,2,NA,Logan Square,North,88,68,81,0.046647309
631,139,4.5,3,Entire home/apt,8,2,2,Logan Square,North,88,68,81,0.046647309
632,30,5,4,Private room,2,1,2,Logan Square,North,88,68,81,0.046647309
633,120,4.5,3,Entire home/apt,5,2,1,Logan Square,North,88,68,81,0.046647309
634,89,4.5,7,Entire home/apt,5,2,1,Logan Square,North,88,68,81,0.046647309
635,75,5,12,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
636,70,4.5,4,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
637,50,5,6,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
638,325,5,31,Entire home/apt,12,4,NA,Logan Square,North,88,68,81,0.046647309
639,70,5,35,Entire home/apt,3,1,1,Logan Square,North,88,68,81,0.046647309
640,42,4.5,83,Private room,1,1,1,Logan Square,North,88,68,81,0.046647309
641,90,4.5,8,Entire home/apt,2,2,2,Logan Square,North,88,68,81,0.046647309
642,43,5,6,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
643,46,4.5,11,Private room,2,1,2,Logan Square,North,88,68,81,0.046647309
644,85,4.5,27,Entire home/apt,5,2,2,Logan Square,North,88,68,81,0.046647309
645,150,4,4,Entire home/apt,6,2,2,Logan Square,North,88,68,81,0.046647309
646,90,5,43,Entire home/apt,4,2,2,Logan Square,North,88,68,81,0.046647309
647,35,5,5,Private room,2,1,10,Logan Square,North,88,68,81,0.046647309
648,65,5,27,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
649,68,4.5,7,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
650,90,5,10,Entire home/apt,4,2,3,Logan Square,North,88,68,81,0.046647309
651,70,5,5,Entire home/apt,4,0,2,Logan Square,North,88,68,81,0.046647309
652,49,5,74,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
653,35,4.5,82,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
654,60,4.5,6,Private room,3,1,NA,Logan Square,North,88,68,81,0.046647309
655,249,4.5,13,Entire home/apt,5,3,1,Logan Square,North,88,68,81,0.046647309
656,109,5,23,Private room,2,1,1,Logan Square,North,88,68,81,0.046647309
